일련번호,시도,시군구,읍면동,리,구분,번,지
83050,대구광역시,달서구,호산동,,일반,709,11
83051,경기도,용인시 처인구,양지면,남곡리,일반,610,1
83052,경상남도,양산시,덕계동,,일반,86,11
83053,전라남도,영암군,삼호읍,삼포리,일반,919,3
83054,충청북도,청주시 흥덕구,오송읍,쌍청리,일반,326,
83055,경상북도,성주군,선남면,성원리,일반,405,
83056,경상북도,포항시 남구,연일읍,우복리,산,194,2
83057,경상남도,창원시 마산회원구,내서읍,평성리,일반,498,1
83058,충청남도,당진시,송산면,동곡리,일반,252,7
83059,충청남도,천안시 동남구,풍세면,용정리,일반,804,2
83060,충청남도,서산시,고북면,봉생리,일반,47,49
83061,경기도,포천시,창수면,오가리,일반,177,2
83062,부산광역시,강서구,지사동,,일반,1188,6
83063,전라남도,장흥군,회진면,신상리,일반,6,1
83064,충청북도,청주시 흥덕구,오송읍,서평리,일반,31,6
83065,충청남도,청양군,남양면,대봉리,일반,573,
83066,충청남도,예산군,신양면,귀곡리,일반,798,
83067,경상남도,김해시,상동면,우계리,일반,259,
83068,충청남도,천안시 동남구,수신면,신풍리,일반,90,1
83069,경상북도,경주시,건천읍,용명리,일반,1079,1
83070,경상북도,경주시,양남면,기구리,일반,897,
83071,경상북도,구미시,옥계동,,일반,799,2
83072,경기도,연천군,중면,중사리,일반,1241,
83073,경상남도,양산시,소주동,,일반,4,1
83074,충청북도,음성군,금왕읍,사창리,일반,208,1
83075,경상남도,창원시 진해구,가주동,,일반,337,2
83076,광주광역시,광산구,월계동,,일반,814,5
83077,충청북도,청주시 흥덕구,오송읍,정중리,일반,765,
83078,대전광역시,대덕구,대화동,,일반,254,19
83079,경기도,김포시,월곶면,고양리,일반,74,28
83080,대구광역시,서구,중리동,,일반,1139,8
83081,서울특별시,금천구,가산동,,일반,459,36
83082,경상남도,거제시,하청면,연구리,일반,793,1
83083,충청북도,청주시 청원구,오창읍,구룡리,일반,424,3
83084,충청북도,청주시 청원구,오창읍,각리,일반,657,1
83085,경상북도,안동시,풍천면,광덕리,일반,1157,5
83086,경상남도,김해시,주촌면,원지리,일반,228,
83087,경기도,김포시,대곶면,대능리,일반,2,17
83088,경기도,김포시,대곶면,송마리,일반,290,8
83089,경상북도,예천군,풍양면,공덕리,일반,30,15
83090,부산광역시,강서구,신호동,,일반,250,
83091,경상북도,경산시,압량읍,신대리,일반,231,
83092,전라남도,여수시,웅천동,,일반,1883,3
83093,경기도,이천시,대월면,초지리,일반,165,30
83094,경상남도,창녕군,창녕읍,도야리,일반,41,3
83095,전라남도,무안군,일로읍,상신기리,일반,764,1
83096,충청북도,옥천군,옥천읍,대천리,일반,432,
83097,광주광역시,광산구,쌍암동,,일반,671,4
83098,제주특별자치도,제주시,구좌읍,한동리,일반,3028,
83099,경상북도,경산시,압량읍,신대리,일반,3,5
83100,충청북도,제천시,봉양읍,주포리,산,11,
83101,경상남도,김해시,주촌면,내삼리,일반,1007,2
83102,충청북도,청주시 청원구,북이면,부연리,일반,395,6
83103,경기도,고양시 일산동구,식사동,,일반,1135,3
83104,대구광역시,달성군,옥포읍,강림리,일반,473,2
83105,경상남도,창원시 마산합포구,진북면,망곡리,일반,424,3
83106,충청남도,공주시,우성면,동곡리,일반,207,1
83107,전라남도,해남군,해남읍,내사리,일반,1005,
83108,경기도,양주시,은현면,운암리,일반,190,50
83109,전라남도,진도군,임회면,상만리,일반,482,
83110,충청북도,청주시 서원구,남이면,대련리,일반,11,
83111,경상북도,경산시,와촌면,박사리,일반,682,2
83112,경기도,광주시,추자동,,일반,199,19
83113,대전광역시,유성구,전민동,,일반,632,
83114,광주광역시,광산구,월계동,,일반,873,13
83115,대전광역시,유성구,어은동,,일반,102,10
83116,경상북도,경주시,안강읍,강교리,일반,1228,
83117,전라남도,해남군,문내면,예락리,일반,1247,3
83118,대전광역시,유성구,전민동,,일반,338,12
83119,경상북도,경산시,자인면,북사리,일반,1086,5
83120,울산광역시,울주군,온산읍,덕신리,일반,283,4
83121,경기도,포천시,일동면,길명리,일반,731,
83122,인천광역시,남동구,고잔동,,일반,651,8
83123,전라남도,장흥군,장흥읍,삼산리,산,28,
83124,충청남도,예산군,고덕면,지곡리,일반,173,1
83125,경상북도,의성군,다인면,가원리,일반,658,
83126,충청북도,청주시 흥덕구,오송읍,오송리,일반,231,9
83127,충청남도,서산시,성연면,왕정리,일반,473,1
83128,인천광역시,남동구,고잔동,,일반,235,4
83129,경상남도,함안군,칠서면,무릉리,일반,87,5
83130,충청북도,청주시 흥덕구,오송읍,오송리,일반,243,16
83131,경기도,연천군,장남면,판부리,일반,493,1
83132,경상남도,함안군,법수면,강주리,일반,1148,
83133,경기도,안성시,죽산면,두교리,일반,141,1
83134,제주특별자치도,제주시,구좌읍,평대리,일반,3324,1
83135,경기도,안산시 단원구,목내동,,산,17,
83136,경기도,용인시 처인구,남사읍,완장리,일반,14,
83137,경상남도,창녕군,대지면,왕산리,일반,135,
83138,대전광역시,서구,평촌동,,일반,291,
83139,충청남도,아산시,인주면,신성리,일반,91,3
83140,대구광역시,북구,노원동3가,,일반,165,1
83141,경기도,화성시,정남면,귀래리,일반,447,8
83142,경상남도,진주시,상평동,,일반,235,16
83143,경상남도,양산시,상북면,신전리,일반,447,15
83144,전라남도,장성군,남면,삼태리,일반,861,7
83145,충청북도,음성군,맹동면,두성리,일반,1054,
83146,경기도,포천시,신북면,신평리,일반,679,3
83147,전라남도,해남군,송지면,송호리,산,121,
83148,충청북도,음성군,삼성면,양덕리,일반,196,
83149,경상북도,영주시,평은면,지곡리,일반,207,
83150,경기도,양주시,광적면,광석리,일반,430,11
83151,경상북도,경산시,진량읍,신제리,일반,601,
83152,경기도,김포시,하성면,원산리,일반,607,
83153,충청남도,서산시,부석면,갈마리,일반,756,12
83154,충청북도,음성군,대소면,부윤리,일반,398,19
83155,충청북도,충주시,소태면,덕은리,일반,234,2
83156,경기도,양평군,지평면,월산리,일반,582,2
83157,전라남도,여수시,여천동,,일반,208,
83158,경상북도,포항시 남구,동해면,공당리,일반,1069,12
83159,경상북도,김천시,응명동,,일반,449,
83160,경기도,화성시,팔탄면,가재리,일반,8,7
83161,전라남도,여수시,주삼동,,산,95,13
83162,경상북도,구미시,옥계동,,일반,1070,
83163,서울특별시,동대문구,용두동,,일반,36,10
83164,경상남도,창원시 진해구,용원동,,일반,1197,7
83165,충청남도,공주시,유구읍,유구리,산,44,18
83166,울산광역시,울주군,온산읍,덕신리,일반,283,2
83167,경상북도,경산시,진량읍,신상리,일반,254,2
83168,경상북도,영주시,상망동,,일반,199,7
83169,대구광역시,달서구,장동,,일반,759,
83170,경상남도,양산시,상북면,상삼리,일반,777,2
83171,경기도,남양주시,오남읍,양지리,일반,249,4
83172,경기도,안성시,서운면,신촌리,일반,270,
83173,서울특별시,강남구,대치동,,일반,890,8
83174,전라남도,해남군,산이면,금송리,일반,402,27
83175,경기도,안산시 상록구,팔곡이동,,일반,68,6
83176,전라남도,장흥군,안양면,수양리,일반,461,10
83177,전라남도,여수시,적량동,,일반,1261,
83178,대구광역시,북구,노원동3가,,일반,200,1
83179,경기도,광주시,초월읍,선동리,일반,235,21
83180,경기도,안성시,일죽면,방초리,일반,877,3
83181,대구광역시,북구,산격동,,일반,641,
83182,대구광역시,달서구,갈산동,,산,51,8
83183,충청남도,태안군,태안읍,평천리,일반,41,3
83184,경기도,양주시,덕계동,,일반,496,1
83185,울산광역시,동구,전하동,,일반,639,7
83186,전라남도,여수시,웅천동,,일반,1659,11
83187,경기도,광주시,목동,,일반,107,
83188,경상북도,칠곡군,가산면,다부리,일반,627,
83189,충청북도,청주시 흥덕구,오송읍,오송리,일반,276,131
83190,경기도,시흥시,매화동,,일반,14,3
83191,충청남도,천안시 동남구,풍세면,보성리,일반,766,1
83192,대전광역시,유성구,전민동,,일반,327,24
83193,경상북도,구미시,인의동,,일반,276,19
83194,경기도,남양주시,화도읍,가곡리,일반,137,5
83195,경기도,화성시,팔탄면,구장리,일반,703,1
83196,충청남도,서산시,성연면,왕정리,일반,619,
83197,경기도,김포시,대곶면,송마리,일반,8,29
83198,전라남도,신안군,압해읍,분매리,일반,720,1
83199,경상남도,창원시 의창구,명서동,,일반,101,9
83200,전라남도,여수시,웅천동,,일반,1649,7
83201,울산광역시,울주군,온산읍,덕신리,일반,184,5
83202,경상북도,포항시 남구,동해면,공당리,산,148,2
83203,인천광역시,서구,가좌동,,일반,573,18
83204,경상남도,창녕군,대합면,대동리,일반,1051,
83205,경상북도,경산시,와촌면,용천리,일반,207,1
